qid,category,query,model,gold_rank,top1_id,top1_score,recall@10,ndcg@10,mrr,top_score,separability
q19,edge_negation,Hot drinks that contain no caffeine,F2LLM-v2-80M,,p33,0.4777,,,,0.4776779115200043,
q19,edge_negation,Hot drinks that contain no caffeine,Gecko-110m-en (f32),,p49,0.5808,,,,0.5807520747184753,
q19,edge_negation,Hot drinks that contain no caffeine,Gecko-110m-en (int8),,p49,0.5811,,,,0.5810877084732056,
q19,edge_negation,Hot drinks that contain no caffeine,all-MiniLM-L6-v2,,p34,0.4501,,,,0.450054407119751,
q19,edge_negation,Hot drinks that contain no caffeine,granite-embedding-97m-multilingual-r2,,p33,0.873,,,,0.8730188608169556,
q19,edge_negation,Hot drinks that contain no caffeine,multilingual-e5-small,,p33,0.8554,,,,0.855438768863678,
q20,edge_lexical_trap,Using the Python programming language for data science,F2LLM-v2-80M,1.0,p23,0.5816,1.0,1.0,1.0,0.5815874934196472,0.3949428051710129
q20,edge_lexical_trap,Using the Python programming language for data science,Gecko-110m-en (f32),1.0,p23,0.7,1.0,1.0,1.0,0.6999595165252686,0.17909139394760132
q20,edge_lexical_trap,Using the Python programming language for data science,Gecko-110m-en (int8),1.0,p23,0.6941,1.0,1.0,1.0,0.6940871477127075,0.17794370651245117
q20,edge_lexical_trap,Using the Python programming language for data science,all-MiniLM-L6-v2,1.0,p23,0.6276,1.0,1.0,1.0,0.6275746822357178,0.4001656770706177
q20,edge_lexical_trap,Using the Python programming language for data science,granite-embedding-97m-multilingual-r2,1.0,p23,0.9047,1.0,1.0,1.0,0.9047458171844482,0.09508872032165527
q20,edge_lexical_trap,Using the Python programming language for data science,multilingual-e5-small,1.0,p23,0.8751,1.0,1.0,1.0,0.8751302361488342,0.057467103004455566
q21,edge_lexical_trap,The grassy bank at the edge of a river,F2LLM-v2-80M,1.0,p27,0.6474,1.0,1.0,1.0,0.6473731994628906,0.38881975412368774
q21,edge_lexical_trap,The grassy bank at the edge of a river,Gecko-110m-en (f32),1.0,p27,0.7706,1.0,1.0,1.0,0.7705636024475098,0.1196088194847107
q21,edge_lexical_trap,The grassy bank at the edge of a river,Gecko-110m-en (int8),1.0,p27,0.7753,1.0,1.0,1.0,0.7752621173858643,0.1222529411315918
q21,edge_lexical_trap,The grassy bank at the edge of a river,all-MiniLM-L6-v2,1.0,p27,0.7202,1.0,1.0,1.0,0.720150351524353,0.3082117438316345
q21,edge_lexical_trap,The grassy bank at the edge of a river,granite-embedding-97m-multilingual-r2,1.0,p27,0.929,1.0,1.0,1.0,0.9289635419845581,0.1123349666595459
q21,edge_lexical_trap,The grassy bank at the edge of a river,multilingual-e5-small,1.0,p27,0.8733,1.0,1.0,1.0,0.873309850692749,0.054169416427612305
q22,edge_lexical_trap,Where can I deposit money and open an account?,F2LLM-v2-80M,1.0,p28,0.3466,1.0,1.0,1.0,0.3465733826160431,0.14146530628204346
q22,edge_lexical_trap,Where can I deposit money and open an account?,Gecko-110m-en (f32),1.0,p28,0.6431,1.0,1.0,1.0,0.6430994272232056,0.15751641988754272
q22,edge_lexical_trap,Where can I deposit money and open an account?,Gecko-110m-en (int8),1.0,p28,0.6373,1.0,1.0,1.0,0.6373496055603027,0.15619874000549316
q22,edge_lexical_trap,Where can I deposit money and open an account?,all-MiniLM-L6-v2,1.0,p28,0.543,1.0,1.0,1.0,0.5430043935775757,0.333044171333313
q22,edge_lexical_trap,Where can I deposit money and open an account?,granite-embedding-97m-multilingual-r2,1.0,p28,0.8503,1.0,1.0,1.0,0.8502751588821411,0.111183762550354
q22,edge_lexical_trap,Where can I deposit money and open an account?,multilingual-e5-small,1.0,p28,0.8636,1.0,1.0,1.0,0.8636305332183838,0.05043238401412964
q23,edge_lexical_trap,The island of Java in Indonesia,F2LLM-v2-80M,1.0,p26,0.7733,1.0,1.0,1.0,0.7733019590377808,0.3650381565093994
q23,edge_lexical_trap,The island of Java in Indonesia,Gecko-110m-en (f32),1.0,p26,0.8703,1.0,1.0,1.0,0.8702925443649292,0.2839898467063904
q23,edge_lexical_trap,The island of Java in Indonesia,Gecko-110m-en (int8),1.0,p26,0.8745,1.0,1.0,1.0,0.8745028376579285,0.2872709631919861
q23,edge_lexical_trap,The island of Java in Indonesia,all-MiniLM-L6-v2,1.0,p26,0.8276,1.0,1.0,1.0,0.8276211023330688,0.3412131071090698
q23,edge_lexical_trap,The island of Java in Indonesia,granite-embedding-97m-multilingual-r2,1.0,p26,0.9719,1.0,1.0,1.0,0.9718831777572632,0.1307985782623291
q23,edge_lexical_trap,The island of Java in Indonesia,multilingual-e5-small,1.0,p26,0.9068,1.0,1.0,1.0,0.9067564606666565,0.08576232194900513
q24,edge_lexical_trap,Dark clouds gathering in the sky before rain,F2LLM-v2-80M,1.0,p30,0.4988,1.0,1.0,1.0,0.4988224506378174,0.21076592803001404
q24,edge_lexical_trap,Dark clouds gathering in the sky before rain,Gecko-110m-en (f32),1.0,p30,0.5384,1.0,1.0,1.0,0.5384216904640198,0.1290486454963684
q24,edge_lexical_trap,Dark clouds gathering in the sky before rain,Gecko-110m-en (int8),1.0,p30,0.5414,1.0,1.0,1.0,0.5414422750473022,0.13079863786697388
q24,edge_lexical_trap,Dark clouds gathering in the sky before rain,all-MiniLM-L6-v2,1.0,p30,0.6386,1.0,1.0,1.0,0.638647735118866,0.295371949672699
q24,edge_lexical_trap,Dark clouds gathering in the sky before rain,granite-embedding-97m-multilingual-r2,1.0,p30,0.8899,1.0,1.0,1.0,0.8898794651031494,0.07980138063430786
q24,edge_lexical_trap,Dark clouds gathering in the sky before rain,multilingual-e5-small,1.0,p30,0.8565,1.0,1.0,1.0,0.8564981818199158,0.06091421842575073
q25,edge_numeric,What major event happened in 1969?,F2LLM-v2-80M,1.0,p09,0.3549,1.0,1.0,1.0,0.35489192605018616,0.14296101033687592
q25,edge_numeric,What major event happened in 1969?,Gecko-110m-en (f32),1.0,p09,0.5628,1.0,1.0,1.0,0.5627709031105042,0.15749770402908325
q25,edge_numeric,What major event happened in 1969?,Gecko-110m-en (int8),1.0,p09,0.5599,1.0,1.0,1.0,0.5598675608634949,0.1639813482761383
q25,edge_numeric,What major event happened in 1969?,all-MiniLM-L6-v2,1.0,p09,0.2902,1.0,1.0,1.0,0.29020988941192627,0.02981346845626831
q25,edge_numeric,What major event happened in 1969?,granite-embedding-97m-multilingual-r2,1.0,p09,0.7896,1.0,1.0,1.0,0.7896126508712769,0.0017088651657104492
q25,edge_numeric,What major event happened in 1969?,multilingual-e5-small,1.0,p09,0.7878,1.0,1.0,1.0,0.7878347635269165,0.033213138580322266
q26,edge_numeric,What is the value of pi to five decimal places?,F2LLM-v2-80M,1.0,p45,0.5907,1.0,1.0,1.0,0.5906847715377808,0.41844743490219116
q26,edge_numeric,What is the value of pi to five decimal places?,Gecko-110m-en (f32),1.0,p45,0.7234,1.0,1.0,1.0,0.7233995199203491,0.30096662044525146
q26,edge_numeric,What is the value of pi to five decimal places?,Gecko-110m-en (int8),1.0,p45,0.7208,1.0,1.0,1.0,0.7207658290863037,0.3064935803413391
q26,edge_numeric,What is the value of pi to five decimal places?,all-MiniLM-L6-v2,1.0,p45,0.6999,1.0,1.0,1.0,0.699927806854248,0.5997244939208031
q26,edge_numeric,What is the value of pi to five decimal places?,granite-embedding-97m-multilingual-r2,1.0,p45,0.914,1.0,1.0,1.0,0.9140444993972778,0.0939212441444397
q26,edge_numeric,What is the value of pi to five decimal places?,multilingual-e5-small,1.0,p45,0.8556,1.0,1.0,1.0,0.8555888533592224,0.055400192737579346
q27,edge_numeric,Which world war ended in 1945?,F2LLM-v2-80M,1.0,p13,0.7887,1.0,1.0,1.0,0.7886643409729004,0.5754416882991791
q27,edge_numeric,Which world war ended in 1945?,Gecko-110m-en (f32),1.0,p13,0.7299,1.0,1.0,1.0,0.7298521399497986,0.3165771961212158
q27,edge_numeric,Which world war ended in 1945?,Gecko-110m-en (int8),1.0,p13,0.7224,1.0,1.0,1.0,0.722392201423645,0.31061267852783203
q27,edge_numeric,Which world war ended in 1945?,all-MiniLM-L6-v2,1.0,p13,0.7586,1.0,1.0,1.0,0.7586495280265808,0.5754668712615967
q27,edge_numeric,Which world war ended in 1945?,granite-embedding-97m-multilingual-r2,1.0,p13,0.9259,1.0,1.0,1.0,0.9258976578712463,0.17383164167404175
q27,edge_numeric,Which world war ended in 1945?,multilingual-e5-small,1.0,p13,0.9016,1.0,1.0,1.0,0.9015573859214783,0.12559258937835693
q28,edge_numeric,In what year was the first powered airplane flight?,F2LLM-v2-80M,1.0,p50,0.6268,1.0,1.0,1.0,0.6268435120582581,0.23278707265853882
q28,edge_numeric,In what year was the first powered airplane flight?,Gecko-110m-en (f32),1.0,p50,0.6633,1.0,1.0,1.0,0.6632694005966187,0.22285312414169312
q28,edge_numeric,In what year was the first powered airplane flight?,Gecko-110m-en (int8),1.0,p50,0.6558,1.0,1.0,1.0,0.6557591557502747,0.2226124405860901
q28,edge_numeric,In what year was the first powered airplane flight?,all-MiniLM-L6-v2,1.0,p50,0.68,1.0,1.0,1.0,0.6800183057785034,0.3299987316131592
q28,edge_numeric,In what year was the first powered airplane flight?,granite-embedding-97m-multilingual-r2,1.0,p50,0.9215,1.0,1.0,1.0,0.9215209484100342,0.10570764541625977
q28,edge_numeric,In what year was the first powered airplane flight?,multilingual-e5-small,1.0,p50,0.8621,1.0,1.0,1.0,0.862069845199585,0.0967869758605957
q29,edge_typo,how does fotosynthesis wrok in plants,F2LLM-v2-80M,1.0,p01,0.4872,1.0,1.0,1.0,0.48722928762435913,0.24622170627117157
q29,edge_typo,how does fotosynthesis wrok in plants,Gecko-110m-en (f32),1.0,p01,0.7552,1.0,1.0,1.0,0.7552262544631958,0.3401009440422058
q29,edge_typo,how does fotosynthesis wrok in plants,Gecko-110m-en (int8),1.0,p01,0.7525,1.0,1.0,1.0,0.7524580955505371,0.3429127335548401
q29,edge_typo,how does fotosynthesis wrok in plants,all-MiniLM-L6-v2,1.0,p01,0.5829,1.0,1.0,1.0,0.5829184055328369,0.31936946511268616
q29,edge_typo,how does fotosynthesis wrok in plants,granite-embedding-97m-multilingual-r2,1.0,p01,0.9207,1.0,1.0,1.0,0.9207148551940918,0.13268554210662842
q29,edge_typo,how does fotosynthesis wrok in plants,multilingual-e5-small,1.0,p01,0.8694,1.0,1.0,1.0,0.8694199919700623,0.06005138158798218
q30,edge_typo,the tallest montain in the wrld,F2LLM-v2-80M,1.0,p19,0.4971,1.0,1.0,1.0,0.49714457988739014,0.03013196587562561
q30,edge_typo,the tallest montain in the wrld,Gecko-110m-en (f32),1.0,p19,0.5334,1.0,1.0,1.0,0.5334484577178955,0.042851030826568604
q30,edge_typo,the tallest montain in the wrld,Gecko-110m-en (int8),1.0,p19,0.5305,1.0,1.0,1.0,0.5304661989212036,0.03797975182533264
q30,edge_typo,the tallest montain in the wrld,all-MiniLM-L6-v2,1.0,p19,0.4261,1.0,1.0,1.0,0.4260678291320801,0.004353225231170654
q30,edge_typo,the tallest montain in the wrld,granite-embedding-97m-multilingual-r2,1.0,p19,0.8843,1.0,1.0,1.0,0.8843096494674683,0.038832008838653564
q30,edge_typo,the tallest montain in the wrld,multilingual-e5-small,2.0,p47,0.8071,1.0,0.6309297535714575,0.5,0.8070845007896423,-0.008410394191741943
q31,edge_typo,explain the pythagorean theorm,F2LLM-v2-80M,1.0,p46,0.6746,1.0,1.0,1.0,0.6746004819869995,0.410452663898468
q31,edge_typo,explain the pythagorean theorm,Gecko-110m-en (f32),1.0,p46,0.8577,1.0,1.0,1.0,0.8577053546905518,0.41761451959609985
q31,edge_typo,explain the pythagorean theorm,Gecko-110m-en (int8),1.0,p46,0.8532,1.0,1.0,1.0,0.8531811237335205,0.4256909489631653
q31,edge_typo,explain the pythagorean theorm,all-MiniLM-L6-v2,1.0,p46,0.7165,1.0,1.0,1.0,0.7165349721908569,0.4236665368080139
q31,edge_typo,explain the pythagorean theorm,granite-embedding-97m-multilingual-r2,1.0,p46,0.921,1.0,1.0,1.0,0.9210312366485596,0.08383291959762573
q31,edge_typo,explain the pythagorean theorm,multilingual-e5-small,1.0,p46,0.8942,1.0,1.0,1.0,0.894191563129425,0.07831799983978271
